id,artist_name,year_of_birth,year_of_death,genre,nationality,filename,name_of_pic,year_of_pic,color1,color2,color3,color4,color5,color6,color7,color8,color9,color10,Sketch,color1-H,color1-S,color1-V,color2-H,color2-S,color2-V,color3-H,color3-S,color3-V,color4-H,color4-S,color4-V,color5-H,color5-S,color5-V,color6-H,color6-S,color6-V,color7-H,color7-S,color7-V,color8-H,color8-S,color8-V,color9-H,color9-S,color9-V,color10-H,color10-S,color10-V,color_theory_tag,color_intensity,amount_of_main_color,similar_pics
19,Albrecht Dürer,1471,1528,Northern Renaissance,German,Albrecht_Dürer_118.jpg,Flagellation of Christ,1504,"#6b6b6b:0.23:(107, 107, 107)","#606060:0.18:( 96,  96,  96)","#787878:0.16:(120, 120, 120)","#555555:0.13:( 85,  85,  85)","#494949:0.1:( 73,  73,  73)","#3c3c3c:0.07:( 60,  60,  60)","#898989:0.063:(137, 137, 137)","#a7a7a7:0.027:(167, 167, 167)","#272727:0.026:( 39,  39,  39)","#c5c5c5:0.024:(197, 197, 197)",Y,0.00,0.00,0.42,0.00,0.00,0.38,0.00,0.00,0.47,0.00,0.00,0.33,0.00,0.00,0.29,0.00,0.00,0.24,0.00,0.00,0.54,0.00,0.00,0.65,0.00,0.00,0.15,0.00,0.00,0.77,NULL,0.0,4,"Rene_Magritte_20.jpg,Paul_Gauguin_274.jpg,Pierre-Auguste_Renoir_22.jpg,Pierre-Auguste_Renoir_171.jpg,Rene_Magritte_116.jpg,Rene_Magritte_13.jpg"
19,Albrecht Dürer,1471,1528,Northern Renaissance,German,Albrecht_Dürer_123.jpg,Lamentation,Unknown,"#7e7e7e:0.18:(126, 126, 126)","#8c8c8c:0.18:(140, 140, 140)","#999999:0.15:(153, 153, 153)","#6d6d6d:0.11:(109, 109, 109)","#a7a7a7:0.11:(167, 167, 167)","#5d5d5d:0.091:( 93,  93,  93)","#4b4b4b:0.068:( 75,  75,  75)","#373737:0.048:( 55,  55,  55)","#c0c0c0:0.035:(192, 192, 192)","#1c1c1c:0.021:( 28,  28,  28)",Y,0.00,0.00,0.49,0.00,0.00,0.55,0.00,0.00,0.60,0.00,0.00,0.43,0.00,0.00,0.65,0.00,0.00,0.36,0.00,0.00,0.29,0.00,0.00,0.22,0.00,0.00,0.75,0.00,0.00,0.11,NULL,0.0,5,"Pablo_Picasso_54.jpg,Albrecht_Dürer_90.jpg,Paul_Gauguin_272.jpg,Pierre-Auguste_Renoir_139.jpg,Albrecht_Dürer_325.jpg,Pierre-Auguste_Renoir_236.jpg"
19,Albrecht Dürer,1471,1528,Northern Renaissance,German,Albrecht_Dürer_126.jpg,Sebastian Brant,Unknown,"#d6d6d6:0.19:(214, 214, 214)","#c9c9c9:0.15:(201, 201, 201)","#e3e3e3:0.14:(227, 227, 227)","#bbbbbb:0.13:(187, 187, 187)","#acacac:0.1:(172, 172, 172)","#9b9b9b:0.085:(155, 155, 155)","#878787:0.073:(135, 135, 135)","#717171:0.062:(113, 113, 113)","#5a5a5a:0.045:( 90,  90,  90)","#414141:0.023:( 65,  65,  65)",Y,0.00,0.00,0.84,0.00,0.00,0.79,0.00,0.00,0.89,0.00,0.00,0.73,0.00,0.00,0.67,0.00,0.00,0.61,0.00,0.00,0.53,0.00,0.00,0.44,0.00,0.00,0.35,0.00,0.00,0.25,NULL,0.0,4,"Albrecht_Dürer_31.jpg,Albrecht_Dürer_41.jpg,Francisco_Goya_104.jpg,Albrecht_Dürer_238.jpg,Albrecht_Dürer_250.jpg,Albrecht_Dürer_282.jpg"
19,Albrecht Dürer,1471,1528,Northern Renaissance,German,Albrecht_Dürer_131.jpg,Winged Man In Idealistic Clothing playing a Lute,1497,"#999999:0.21:(153, 153, 153)","#a1a1a1:0.18:(161, 161, 161)","#8f8f8f:0.14:(143, 143, 143)","#a9a9a9:0.1:(169, 169, 169)","#858585:0.098:(133, 133, 133)","#6e6e6e:0.084:(110, 110, 110)","#7a7a7a:0.078:(122, 122, 122)","#616161:0.062:( 97,  97,  97)","#515151:0.03:( 81,  81,  81)","#c1c1c1:0.014:(193, 193, 193)",Y,0.00,0.00,0.60,0.00,0.00,0.63,0.00,0.00,0.56,0.00,0.00,0.66,0.00,0.00,0.52,0.00,0.00,0.43,0.00,0.00,0.48,0.00,0.00,0.38,0.00,0.00,0.32,0.00,0.00,0.76,NULL,0.0,3,"Kazimir_Malevich_68.jpg,Albrecht_Dürer_302.jpg,Joan_Miro_75.jpg,Albrecht_Dürer_232.jpg,Albrecht_Dürer_252.jpg,Pierre-Auguste_Renoir_51.jpg"
19,Albrecht Dürer,1471,1528,Northern Renaissance,German,Albrecht_Dürer_133.jpg,Study sheet with fools Faun Phoenix and Deer Hunting,1515,"#dedede:0.24:(222, 222, 222)","#e6e6e6:0.22:(230, 230, 230)","#d4d4d4:0.17:(212, 212, 212)","#f0f0f0:0.15:(240, 240, 240)","#c7c7c7:0.074:(199, 199, 199)","#b3b3b3:0.052:(179, 179, 179)","#9b9b9b:0.038:(155, 155, 155)","#808080:0.027:(128, 128, 128)","#636363:0.016:( 99,  99,  99)","#404040:0.0067:( 64,  64,  64)",Y,0.00,0.00,0.87,0.00,0.00,0.90,0.00,0.00,0.83,0.00,0.00,0.94,0.00,0.00,0.78,0.00,0.00,0.70,0.00,0.00,0.61,0.00,0.00,0.50,0.00,0.00,0.39,0.00,0.00,0.25,NULL,0.0,4,"Albrecht_Dürer_22.jpg,Albrecht_Dürer_304.jpg,Marc_Chagall_47.jpg,Marc_Chagall_77.jpg,Albrecht_Dürer_111.jpg,Albrecht_Dürer_180.jpg"
19,Albrecht Dürer,1471,1528,Northern Renaissance,German,Albrecht_Dürer_137.jpg,Portrait of a goldsmith from Mechelen,1520,"#f6f6f6:0.28:(246, 246, 246)","#eeeeee:0.27:(238, 238, 238)","#e6e6e6:0.15:(230, 230, 230)","#d8d8d8:0.08:(216, 216, 216)","#c8c8c8:0.063:(200, 200, 200)","#b5b5b5:0.049:(181, 181, 181)","#9f9f9f:0.04:(159, 159, 159)","#858585:0.03:(133, 133, 133)","#676767:0.021:(103, 103, 103)","#424242:0.01:( 66,  66,  66)",Y,0.00,0.00,0.96,0.00,0.00,0.93,0.00,0.00,0.90,0.00,0.00,0.85,0.00,0.00,0.78,0.00,0.00,0.71,0.00,0.00,0.62,0.00,0.00,0.52,0.00,0.00,0.40,0.00,0.00,0.26,NULL,0.0,3,"Andy_Warhol_172.jpg,Marc_Chagall_144.jpg,Francisco_Goya_246.jpg,Pablo_Picasso_58.jpg,Marc_Chagall_73.jpg,Marc_Chagall_40.jpg"
19,Albrecht Dürer,1471,1528,Northern Renaissance,German,Albrecht_Dürer_138.jpg,Christ before Caiaphas,Unknown,"#4f5e44:0.18:( 79,  94,  68)","#445039:0.18:( 68,  80,  57)","#5d6f52:0.14:( 93, 111,  82)","#38412d:0.12:( 56,  65,  45)","#6e7f67:0.11:(110, 127, 103)","#5b6a55:0.11:( 91, 106,  85)","#292e1d:0.06:( 41,  46,  29)","#889883:0.043:(136, 152, 131)","#b9c3b1:0.028:(185, 195, 177)","#14160c:0.024:( 20,  22,  12)",Y,94.62,0.28,0.37,91.30,0.29,0.31,97.24,0.26,0.44,87.00,0.31,0.25,102.50,0.19,0.50,102.86,0.20,0.42,77.65,0.37,0.18,105.71,0.14,0.60,93.33,0.09,0.76,72.00,0.45,0.09,NULL,0.26064,6,"Alfred_Sisley_207.jpg,Paul_Gauguin_184.jpg,Vincent_van_Gogh_383.jpg,Pablo_Picasso_370.jpg,Gustav_Klimt_43.jpg,Alfred_Sisley_250.jpg"
19,Albrecht Dürer,1471,1528,Northern Renaissance,German,Albrecht_Dürer_142.jpg,The dead Christ with the crown of thorns,1503,"#e2d1c0:0.23:(226, 209, 192)","#e1cfb6:0.22:(225, 207, 182)","#d2c0ab:0.19:(210, 192, 171)","#f0e3d4:0.1:(240, 227, 212)","#baa690:0.075:(186, 166, 144)","#9d866e:0.049:(157, 134, 110)","#fdfcfa:0.039:(253, 252, 250)","#7b6047:0.037:(123,  96,  71)","#563720:0.032:( 86,  55,  32)","#301309:0.023:( 48,  19,   9)",Y,30.00,0.15,0.89,34.88,0.19,0.88,32.31,0.19,0.82,32.14,0.12,0.94,31.43,0.23,0.73,30.64,0.30,0.62,40.00,0.01,0.99,28.85,0.42,0.48,25.56,0.63,0.34,15.38,0.81,0.19,NULL,0.21107,3,"Paul_Klee_98.jpg,Kazimir_Malevich_28.jpg,Edgar_Degas_97.jpg,Salvador_Dali_128.jpg,Kazimir_Malevich_70.jpg,Kazimir_Malevich_115.jpg"
19,Albrecht Dürer,1471,1528,Northern Renaissance,German,Albrecht_Dürer_144.jpg,St. Anna,Unknown,"#b5b5b5:0.2:(181, 181, 181)","#a5a5a5:0.15:(165, 165, 165)","#c7c7c7:0.14:(199, 199, 199)","#929292:0.13:(146, 146, 146)","#7c7c7c:0.1:(124, 124, 124)","#666666:0.085:(102, 102, 102)","#e0e0e0:0.08:(224, 224, 224)","#4d4d4d:0.056:( 77,  77,  77)","#323232:0.04:( 50,  50,  50)","#171717:0.023:( 23,  23,  23)",Y,0.00,0.00,0.71,0.00,0.00,0.65,0.00,0.00,0.78,0.00,0.00,0.57,0.00,0.00,0.49,0.00,0.00,0.40,0.00,0.00,0.88,0.00,0.00,0.30,0.00,0.00,0.20,0.00,0.00,0.09,NULL,0.0,4,"Albrecht_Dürer_316.jpg,Pierre-Auguste_Renoir_29.jpg,Albrecht_Dürer_272.jpg,Albrecht_Dürer_39.jpg,Kazimir_Malevich_85.jpg,Albrecht_Dürer_10.jpg"
19,Albrecht Dürer,1471,1528,Northern Renaissance,German,Albrecht_Dürer_147.jpg,Head of an Old Man,1521,"#533d29:0.14:( 83,  61,  41)","#896046:0.14:(137,  96,  70)","#704e38:0.12:(112,  78,  56)","#3f3120:0.11:( 63,  49,  32)","#624b3a:0.11:( 98,  75,  58)","#7c5d49:0.1:(124,  93,  73)","#9c7150:0.085:(156, 113,  80)","#282113:0.077:( 40,  33,  19)","#97755e:0.074:(151, 117,  94)","#b8967d:0.042:(184, 150, 125)",Y,28.57,0.51,0.33,23.28,0.49,0.54,23.57,0.50,0.44,32.90,0.49,0.25,25.50,0.41,0.38,23.53,0.41,0.49,26.05,0.49,0.61,40.00,0.53,0.16,24.21,0.38,0.59,25.42,0.32,0.72,NULL,0.46402,5,"Henri_de_Toulouse-Lautrec_73.jpg,Diego_Velazquez_65.jpg,Paul_Klee_1.jpg,Francisco_Goya_79.jpg,Andrei_Rublev_24.jpg,Pierre-Auguste_Renoir_263.jpg"
19,Albrecht Dürer,1471,1528,Northern Renaissance,German,Albrecht_Dürer_148.jpg,Portrait of Marx Ulstat and the beautiful princess in Antwerp,1520,"#e9e9e9:0.18:(233, 233, 233)","#d8d8d8:0.18:(216, 216, 216)","#b9b9b9:0.15:(185, 185, 185)","#c9c9c9:0.15:(201, 201, 201)","#a8a8a8:0.12:(168, 168, 168)","#939393:0.073:(147, 147, 147)","#fbfbfb:0.061:(251, 251, 251)","#7b7b7b:0.046:(123, 123, 123)","#5d5d5d:0.026:( 93,  93,  93)","#333333:0.0097:( 51,  51,  51)",Y,0.00,0.00,0.91,0.00,0.00,0.85,0.00,0.00,0.73,0.00,0.00,0.79,0.00,0.00,0.66,0.00,0.00,0.58,0.00,0.00,0.98,0.00,0.00,0.48,0.00,0.00,0.36,0.00,0.00,0.20,NULL,0.0,5,"Albrecht_Dürer_190.jpg,Albrecht_Dürer_2.jpg,Albrecht_Dürer_53.jpg,Francisco_Goya_37.jpg,Albrecht_Dürer_173.jpg,Edvard_Munch_23.jpg"
19,Albrecht Dürer,1471,1528,Northern Renaissance,German,Albrecht_Dürer_152.jpg,Two Venetian women,1495,"#edd4b9:0.18:(237, 212, 185)","#efd4a9:0.18:(239, 212, 169)","#d6b697:0.14:(214, 182, 151)","#e5c28d:0.12:(229, 194, 141)","#89664a:0.084:(137, 102,  74)","#b18c6d:0.074:(177, 140, 109)","#cea472:0.072:(206, 164, 114)","#664732:0.072:(102,  71,  50)","#a57545:0.041:(165, 117,  69)","#3c291c:0.036:( 60,  41,  28)",Y,31.15,0.22,0.93,36.86,0.29,0.94,29.52,0.29,0.84,36.14,0.38,0.90,26.67,0.46,0.54,27.35,0.38,0.69,32.61,0.45,0.81,24.23,0.51,0.40,30.00,0.58,0.65,24.38,0.53,0.24,NULL,0.35674,4,"Salvador_Dali_77.jpg,Peter_Paul_Rubens_62.jpg,Peter_Paul_Rubens_101.jpg,Amedeo_Modigliani_42.jpg,Edgar_Degas_158.jpg,Pablo_Picasso_338.jpg"
19,Albrecht Dürer,1471,1528,Northern Renaissance,German,Albrecht_Dürer_154.jpg,The Visitation,1504,"#cdcdcd:0.25:(205, 205, 205)","#d7d7d7:0.2:(215, 215, 215)","#c3c3c3:0.18:(195, 195, 195)","#b4b4b4:0.1:(180, 180, 180)","#a2a2a2:0.083:(162, 162, 162)","#8e8e8e:0.067:(142, 142, 142)","#787878:0.053:(120, 120, 120)","#5f5f5f:0.036:( 95,  95,  95)","#444444:0.022:( 68,  68,  68)","#232323:0.011:( 35,  35,  35)",Y,0.00,0.00,0.80,0.00,0.00,0.84,0.00,0.00,0.76,0.00,0.00,0.71,0.00,0.00,0.64,0.00,0.00,0.56,0.00,0.00,0.47,0.00,0.00,0.37,0.00,0.00,0.27,0.00,0.00,0.14,NULL,0.0,3,"Vincent_van_Gogh_649.jpg,Francisco_Goya_187.jpg,Gustav_Klimt_30.jpg,William_Turner_49.jpg,Pablo_Picasso_325.jpg,Albrecht_Dürer_318.jpg"
19,Albrecht Dürer,1471,1528,Northern Renaissance,German,Albrecht_Dürer_156.jpg,Head of an Angel,1506,"#818597:0.18:(129, 133, 151)","#82878e:0.16:(130, 135, 142)","#8d95a1:0.14:(141, 149, 161)","#8d94ab:0.12:(141, 148, 171)","#77737d:0.1:(119, 115, 125)","#6a6165:0.089:(106,  97, 101)","#56484b:0.07:( 86,  72,  75)","#a3adc2:0.06:(163, 173, 194)","#5e534b:0.045:( 94,  83,  75)","#3f322f:0.044:( 63,  50,  47)",Y,229.09,0.15,0.59,215.00,0.08,0.56,216.00,0.12,0.63,226.00,0.18,0.67,264.00,0.08,0.49,333.33,0.08,0.42,347.14,0.16,0.34,220.65,0.16,0.76,25.26,0.20,0.37,11.25,0.25,0.25,NULL,0.13412,4,"Pablo_Picasso_190.jpg,Paul_Cezanne_47.jpg,Salvador_Dali_79.jpg,Piet_Mondrian_54.jpg,Alfred_Sisley_180.jpg,Vincent_van_Gogh_855.jpg"
19,Albrecht Dürer,1471,1528,Northern Renaissance,German,Albrecht_Dürer_159.jpg,Apostle,Unknown,"#c1c1c1:0.21:(193, 193, 193)","#b8b8b8:0.2:(184, 184, 184)","#cacaca:0.15:(202, 202, 202)","#adadad:0.14:(173, 173, 173)","#d3d3d3:0.1:(211, 211, 211)","#9f9f9f:0.078:(159, 159, 159)","#dfdfdf:0.052:(223, 223, 223)","#8c8c8c:0.043:(140, 140, 140)","#757575:0.023:(117, 117, 117)","#585858:0.0082:( 88,  88,  88)",Y,0.00,0.00,0.76,0.00,0.00,0.72,0.00,0.00,0.79,0.00,0.00,0.68,0.00,0.00,0.83,0.00,0.00,0.62,0.00,0.00,0.87,0.00,0.00,0.55,0.00,0.00,0.46,0.00,0.00,0.35,NULL,0.0,4,"Mikhail_Vrubel_128.jpg,Pieter_Bruegel_1.jpg,Giotto_di_Bondone_115.jpg,Paul_Klee_111.jpg,Pierre-Auguste_Renoir_329.jpg,Vincent_van_Gogh_73.jpg"
19,Albrecht Dürer,1471,1528,Northern Renaissance,German,Albrecht_Dürer_161.jpg,Seated Nude Child,1506,"#525252:0.18:( 82,  82,  82)","#5d5d5d:0.17:( 93,  93,  93)","#464646:0.14:( 70,  70,  70)","#696969:0.13:(105, 105, 105)","#373837:0.11:( 55,  56,  55)","#777777:0.077:(119, 119, 119)","#272727:0.07:( 39,  39,  39)","#8b8b8b:0.048:(139, 139, 139)","#151515:0.042:( 21,  21,  21)","#a7a7a7:0.019:(167, 167, 167)",Y,0.00,0.00,0.32,0.00,0.00,0.36,0.00,0.00,0.27,0.00,0.00,0.41,120.00,0.02,0.22,0.00,0.00,0.47,0.00,0.00,0.15,0.00,0.00,0.55,0.00,0.00,0.08,0.00,0.00,0.65,NULL,0.0022,5,"Claude_Monet_62.jpg,William_Turner_48.jpg,Claude_Monet_13.jpg,Paul_Gauguin_232.jpg,Edgar_Degas_67.jpg,Mikhail_Vrubel_107.jpg"
