id,name,years,year_of_birth,year_of_death,genre,nationality,bio,wikipedia,number_of_paintings,changes in number of paintings
10,Hieronymus Bosch,1450 - 1516,1450,1516,Northern Renaissance,Dutch,"Hieronymus Bosch (c.?�?1450 ?�? 9 August 1516) was a Dutch/Netherlandish painter and draughtsman from Brabant. He is one of the most notable representatives of the Early Netherlandish painting school. His work contains fantastic illustrations of religious concepts and narratives. Within his lifetime his work was collected in the Netherlands, Austria, and Spain, and widely copied, especially his macabre and nightmarish depictions of hell.",http://en.wikipedia.org/wiki/Hieronymus_Bosch,68,from 69 to 68
11,Kazimir Malevich,1879 - 1935,1879,1935,Suprematism,Russian,"Kazimir Severinovich Malevich (February 23, 1879 ?�? May 15, 1935) was a Russian avant-garde artist and art theorist, whose pioneering work and writing had a profound influence on the development of non-objective, or abstract art, in the 20th century. Born in Kiev to an ethnic Polish family, his concept of Suprematism sought to develop a form of expression that moved as far as possible from the world of natural forms (objectivity) and subject matter in order to access ""the supremacy of pure feeling""[6] and spirituality. Malevich is considered to be part of the Ukrainian avant-garde (together with Alexander Archipenko, Vladimir Tatlin, Sonia Delaunay, Aleksandra Ekster, and David Burliuk) that was shaped by Ukrainian-born artists who worked first in Ukraine and later over a geographical span between Europe and America.",http://en.wikipedia.org/wiki/Kazimir_Malevich,63,
12,Mikhail Vrubel,1856 - 1910,1856,1910,Symbolism,Russian,"Mikhail Aleksandrovich Vrubel (March 17, 1856 ?�? April 14, 1910, all n.s.) is usually regarded amongst the Russian painters of the Symbolist movement and of Art Nouveau. In reality, he deliberately stood aloof from contemporary art trends, so that the origin of his unusual manner should be sought in Late Byzantine and Early Renaissance painting.",http://en.wikipedia.org/wiki/Mikhail_Vrubel,86,
13,Pablo Picasso,1881 - 1973,1881,1973,Cubism,Spanish,"Pablo Ruiz Picasso (25 October 1881 ?�? 8 April 1973) was a Spanish painter, sculptor, printmaker, ceramicist, stage designer, poet and playwright who spent most of his adult life in France. Regarded as one of the most influential artists of the 20th century, he is known for co-founding the Cubist movement, the invention of constructed sculpture, the co-invention of collage, and for the wide variety of styles that he helped develop and explore. Among his most famous works are the proto-Cubist Les Demoiselles d'Avignon (1907), and Guernica (1937), a dramatic portrayal of the bombing of Guernica by the German and Italian air forces during the Spanish Civil War.",http://en.wikipedia.org/wiki/Pablo_Picasso,216,from220 to 216
14,Peter Paul Rubens,1577 - 1640,1577,1640,Baroque,Dutch,"Sir Peter Paul Rubens (28 June 1577 ?�? 30 May 1640) was a Flemish artist. He is considered the most influential artist of Flemish Baroque tradition. Rubens's highly charged compositions reference erudite aspects of classical and Christian history. His unique and immensely popular Baroque style emphasized movement, color, and sensuality, which followed the immediate, dramatic artistic style promoted in the Counter-Reformation. Rubens specialized in making altarpieces, portraits, landscapes, and history paintings of mythological and allegorical subjects.",http://en.wikipedia.org/wiki/Peter_Paul_Rubens,71,
15,Pierre-Auguste Renoir,1841 - 1919,1841,1919,Impressionism,French,"Pierre-Auguste Renoir, commonly known as Auguste Renoir (25 February 1841 ?�? 3 December 1919), was a French artist who was a leading painter in the development of the Impressionist style. As a celebrator of beauty and especially feminine sensuality, it has been said that ""Renoir is the final representative of a tradition which runs directly from Rubens to Watteau.""",http://en.wikipedia.org/wiki/Pierre-Auguste_Renoir,167,from 168 to 167
16,Francisco Goya,1746 - 1828,1746,1828,Romanticism,Spanish,"Francisco Goya (30 March 1746 ?�? 16 April 1828) was a Spanish romantic painter and printmaker. He is considered the most important Spanish artist of the late 18th and early 19th centuries and throughout his long career was a commentator and chronicler of his era. Immensely successful in his lifetime, Goya is often referred to as both the last of the Old Masters and the first of the moderns. He was also one of the great portraitists of his time. ",http://en.wikipedia.org/wiki/Francisco_Goya,119,146 to 119
17,Frida Kahlo,1907 - 1954,1907,1954,Surrealism,Mexican,"Frida Kahlo (6 July 1907 ?�? 13 July 1954) was a Mexican painter known for her many portraits, self-portraits, and works inspired by the nature and artifacts of Mexico. Inspired by the country's popular culture, she employed a naive folk art style to explore questions of identity, postcolonialism, gender, class, and race in Mexican society. Her paintings often had strong autobiographical elements and mixed realism with fantasy. In addition to belonging to the post-revolutionary Mexicayotl movement, which sought to define a Mexican identity, Kahlo has been described as a surrealist or magical realist.",http://en.wikipedia.org/wiki/Frida_Kahlo,60,
18,El Greco,1541 - 1614,1541,1614,Mannerism,Greek,"Dom??nikos Theotok??poulos (1 October 1541 ?�? 7 April 1614), most widely known as El Greco (""The Greek""), was a Greek painter, sculptor and architect of the Spanish Renaissance. ""El Greco"" was a nickname, a reference to his Greek origin, and the artist normally signed his paintings with his full birth name in Greek letters. El Greco is regarded as a precursor of both Expressionism and Cubism, while his personality and works were a source of inspiration for poets and writers such as Rainer Maria Rilke and Nikos Kazantzakis. He is best known for tortuously elongated figures and often fantastic or phantasmagorical pigmentation, marrying Byzantine traditions with those of Western painting.",http://en.wikipedia.org/wiki/El_Greco,43,changed from 44 to 43
19,Albrecht Dürer,1471 - 1528,1471,1528,Northern Renaissance,German,"Albrecht D??rer (21 May 1471 ?�? 6 April 1528), sometimes spelt in English as Dürer or Duerer, without umlaut, was a painter, printmaker, and theorist of the German Renaissance. Born in Nuremberg, D??rer established his reputation and influence across Europe when he was still in his twenties due to his high-quality woodcut prints. He was in communication with the major Italian artists of his time, including Raphael, Giovanni Bellini and Leonardo da Vinci, and from 1512 he was patronized by Emperor Maximilian I. D??rer is commemorated by both the Lutheran and Episcopal Churches. D??rer's introduction of classical motifs into Northern art, through his knowledge of Italian artists and German humanists, has secured his reputation as one of the most important figures of the Northern Renaissance. This is reinforced by his theoretical treatises, which involve principles of mathematics, perspective, and ideal proportions.",https://en.wikipedia.org/wiki/Albrecht_D%C3%BCrer,142,from 143 to 142
20,Alfred Sisley,1839 - 1899,1839,1899,Impressionism,British,"Alfred Sisley (30 October 1839 ?�? 29 January 1899) was an Impressionist landscape painter who was born and spent most of his life in France, but retained British citizenship. He was the most consistent of the Impressionists in his dedication to painting landscape en plein air (i.e., outdoors). He deviated into figure painting only rarely and, unlike Renoir and Pissarro, found that Impressionism fulfilled his artistic needs.",http://en.wikipedia.org/wiki/Alfred_Sisley,114,
21,Pieter Bruegel,1525 - 1569,1525,1569,Northern Renaissance,Flemish,"Pieter Bruegel (also Brueghel or Breughel) the Elder (c.?�?1525?�?1530 ?�? 9 September 1569) was the most significant artist of Dutch and Flemish Renaissance painting, a painter and printmaker from Brabant, known for his landscapes and peasant scenes (so-called genre painting); he was a pioneer in making both types of subject the focus in large paintings.",http://en.wikipedia.org/wiki/Pieter_Bruegel_the_Elder,65,from 67 to 65
22,Marc Chagall,1887 - 1985,1887,1985,"Cubism,Expressionism",Russian-French,"Marc Zakharovich Chagall (6 July [O.S. 24 June] 1887 ?�? 28 March 1985) was a Russian-French artist of Belarusian Jewish origin. An early modernist, he was associated with several major artistic styles and created works in virtually every artistic format, including painting, book illustrations, stained glass, stage sets, ceramic, tapestries and fine art prints.",http://en.wikipedia.org/wiki/Marc_Chagall,120,
23,Giotto di Bondone,1266 - 1337,1266,1337,"Proto Renaissance,Late Gothic",Italian,"Giotto di Bondone (c.?�?1267[a] ?�? January 8, 1337) and Latinised as Giottus, was an Italian painter and architect from Florence during the Late Middle Ages. He worked during the Gothic/Proto-Renaissance period. Giotto's contemporary, the banker and chronicler Giovanni Villani, wrote that Giotto was ""the most sovereign master of painting in his time, who drew all his figures and their postures according to nature"" and of his publicly recognized ""talent and excellence"". In his Lives of the Most Excellent Painters, Sculptors, and Architects, Giorgio Vasari described Giotto as making a decisive break with the prevalent Byzantine style and as initiating ""the great art of painting as we know it today, introducing the technique of drawing accurately from life, which had been neglected for more than two hundred years"".",http://en.wikipedia.org/wiki/Giotto_di_Bondone,59,changed from 60 to 59
24,Sandro Botticelli,1445 - 1510,1445,1510,Early Renaissance,Italian,"Alessandro di Mariano di Vanni Filipepi (c.?�?1445 ?�? May 17, 1510), known as Sandro Botticelli, was an Italian painter of the Early Renaissance. He belonged to the Florentine School under the patronage of Lorenzo de' Medici, a movement that Giorgio Vasari would characterize less than a hundred years later in his Vita of Botticelli as a ""golden age"". Botticelli's posthumous reputation suffered until the late 19th century; since then, his work has been seen to represent the linear grace of Early Renaissance painting.",http://en.wikipedia.org/wiki/Sandro_Botticelli,82,
25,Caravaggio,1571 - 1610,1571,1610,Baroque,Italian,"Michelangelo Merisi da Caravaggio (29 September 1571 ?�? 18 July 1610) was an Italian painter active in Rome, Naples, Malta, and Sicily from the early 1590s to 1610. His paintings combine a realistic observation of the human state, both physical and emotional, with a dramatic use of lighting, which had a formative influence on Baroque painting.",http://en.wikipedia.org/wiki/Caravaggio,23,changed from 24 to 23
26,Leonardo da Vinci,1452 - 1519,1452,1519,High Renaissance,Italian,"Leonardo da Vinci (14/15 April 1452 ?�? 2 May 1519), more commonly known as Leonardo da Vinci, was an Italian polymath of the Renaissance whose areas of interest included invention, drawing, painting, sculpture, architecture, science, engineering, etc. He is widely considered one of the greatest painters of all time. The Mona Lisa is the most famous of his works and the most popular portrait ever made. The Last Supper is the most reproduced religious painting of all time and his Vitruvian Man drawing is regarded as a cultural icon as well. ",http://en.wikipedia.org/wiki/Leonardo_da_Vinci,70,from 72 to 70
27,Diego Velazquez,1599 - 1660,1599,1660,Baroque,Spanish,"Diego Vel??zquez (baptized June 6, 1599 ?�? August 6, 1660) was a Spanish painter, the leading artist in the court of King Philip IV, and one of the most important painters of the Spanish Golden Age. He was an individualistic artist of the contemporary Baroque period. He began to paint in a precise tenebrist style, later developing a freer manner characterized by bold brushwork. In addition to numerous renditions of scenes of historical and cultural significance, he painted scores of portraits of the Spanish royal family and commoners, culminating in his masterpiece Las Meninas.",https://en.wikipedia.org/wiki/Diego_Vel%C3%A1zquez,55,changed from 56 to 55
28,Henri Matisse,1869 - 1954,1869,1954,"Post-Impressionism,Fauvism",French,"Henri ??mile Beno??t Matisse (31 December 1869 ?�? 3 November 1954) was a French artist, known for both his use of color and his fluid and original draughtsman ship. He was a draughtsman, printmaker, and sculptor, but is known primarily as a painter. Matisse is commonly regarded, along with Pablo Picasso, as one of the artists who best helped to define the revolutionary developments in the visual arts throughout the opening decades of the twentieth century, responsible for significant developments in painting and sculpture.",http://en.wikipedia.org/wiki/Henri_Matisse,92,from 93 to 92
29,Jan van Eyck,1395 - 1441,1395,1441,Northern Renaissance,Flemish,"Jan van Eyck (c.?�?before 1390 ?�? 9 July 1441) was a Flemish painter active in Bruges. He is one of the early innovators of what became known as Early Netherlandish painting, and one of the most significant representatives of Early Northern Renaissance art. He achieved a new level of virtuosity through his developments in the use of oil paint. He was highly influential, and his techniques and style were adopted and refined by the Early Netherlandish painters.",http://en.wikipedia.org/wiki/Jan_van_Eyck,40,from 41 to 40
30,Edgar Degas,1834 - 1917,1834,1917,Impressionism,French,"Edgar Degas (19 July 1834 ?�? 27 September 1917) was a French artist famous for his paintings, sculptures, prints, and drawings. He is especially identified with the subject of dance; more than half of his works depict dancers. Regarded as one of the founders of Impressionism, he rejected the term, preferring to be called a realist. He was a superb draftsman, and particularly masterly in depicting movement, as can be seen in his rendition of dancers, racecourse subjects and female nudes. His portraits are notable for their psychological complexity and for their portrayal of human isolation.",http://en.wikipedia.org/wiki/Edgar_Degas,307,changed from 308 to 307
31,Rembrandt,1606 - 1669,1606,1669,Baroque,Dutch,"Rembrandt Harmenszoon van Rijn (15 July 1606 ?�? 4 October 1669) was a Dutch draughtsman, painter, and printmaker. An innovative and prolific master in three media, he is generally considered one of the greatest visual artists in the history of art and the most important in Dutch art history. Unlike most Dutch masters of the 17th century, Rembrandt's works depict a wide range of style and subject matter, from portraits and self-portraits to landscapes, genre scenes, allegorical and historical scenes, and biblical and mythological themes as well as animal studies. His contributions to art came in a period of great wealth and cultural achievement that historians call the Dutch Golden Age, when Dutch art (especially Dutch painting), although in many ways antithetical to the Baroque style that dominated Europe, was extremely prolific and innovative and gave rise to important new genres. ",http://en.wikipedia.org/wiki/Rembrandt,131,
32,Titian,1488 - 1576,1488,1576,"High Renaissance,Mannerism",Italian,"Tiziano Vecelli or Vecellio (c.?�?1488/90 ?�? 27 August 1576), known in English as Titian, was an Italian painter during the Renaissance, considered the most important member of the 16th-century Venetian school. During the course of his long life, Titian's artistic manner changed drastically, but he retained a lifelong interest in color. Although his mature works may not contain the vivid, luminous tints of his early pieces, their loose brushwork and subtlety of tone were without precedent in the history of Western painting.",http://en.wikipedia.org/wiki/Titian,126,from 128 to 126
33,Henri de Toulouse-Lautrec,1864 ?�????? 1901,1864,1901,"Post-Impressionism,Art Nouveau",French,"Henri de Toulouse-Lautrec was a French painter, printmaker, draughtsman, caricaturist, and illustrator whose immersion in the colorful and theatrical life of Paris in the late 19th century allowed him to produce a collection of enticing, elegant, and provocative images of the modern, sometimes decadent, affairs of those times.",https://en.wikipedia.org/wiki/Henri_de_Toulouse-Lautrec,41,
34,Gustave Courbet,1819 - 1877,1819,1877,Realism,French,"Jean D??sir?? Gustave Courbet (10 June 1819 ?�? 31 December 1877) was a French painter who led the Realism movement in 19th-century French painting. Committed to painting only what he could see, he rejected academic convention and the Romanticism of the previous generation of visual artists. His independence set an example that was important to later artists, such as the Impressionists and the Cubists. Courbet occupies an important place in 19th-century French painting as an innovator and as an artist willing to make bold social statements through his work.",https://en.wikipedia.org/wiki/Gustave_Courbet,29,from 30 to 29
35,Camille Pissarro,1830 - 1903,1830,1903,"Impressionism,Post-Impressionism",French,"Camille Pissarro (10 July 1830 ?�? 13 November 1903) was a Danish-French Impressionist and Neo-Impressionist painter born on the island of St Thomas (now in the US Virgin Islands, but then in the Danish West Indies). His importance resides in his contributions to both Impressionism and Post-Impressionism. Pissarro studied from great forerunners, including Gustave Courbet and Jean-Baptiste-Camille Corot. He later studied and worked alongside Georges Seurat and Paul Signac when he took on the Neo-Impressionist style at the age of 54.",https://en.wikipedia.org/wiki/Camille_Pissarro,39,changed from 40 to 39
36,William Turner,1775 - 1851,1775,1851,Romanticism,British,"Joseph Mallord William Turner RA (23 April 1775 ?�? 19 December 1851), known contemporarily as William Turner, was an English Romantic painter, printmaker and watercolorist. He is known for his expressive colorizations, imaginative landscapes and turbulent, often violent marine paintings. He left behind more than 550 oil paintings, 2,000 watercolors, and 30,000 works on paper. He had been championed by the leading English art critic John Ruskin from 1840, and is today regarded as having elevated landscape painting to an eminence rivalling history painting.",https://en.wikipedia.org/wiki/J._M._W._Turner,32,from 33 to 32
37,Edvard Munch,1863 - 1944,1863,1944,"Symbolism,Expressionism",Norwegian,"Edvard Munch (12 December 1863 ?�? 23 January 1944) was a Norwegian painter, whose best-known work, The Scream, has become one of the most iconic images of world art. Munch's art was highly personalized and he did little teaching. His ""private"" symbolism was far more personal than that of other Symbolist painters such as Gustave Moreau and James Ensor. Munch was still highly influential, particularly with the German Expressionists, who followed his philosophy. Many of his paintings, including The Scream, have universal appeal in addition to their highly personal meaning.",https://en.wikipedia.org/wiki/Edvard_Munch,34,
38,Paul Cezanne,1839 ?�????? 1906,1839,1906,"Impressionism,Post-Impressionism",French,"Paul C??zanne (19 January 1839 ?�? 22 October 1906) was a French artist and Post-Impressionist painter whose work laid the foundations of the transition from the 19th-century conception of artistic endeavor to a new and radically different world of art in the 20th century. C??zanne is said to have formed the bridge between late 19th-century Impressionism and the early 20th century's new line of artistic enquiry, Cubism. ",https://en.wikipedia.org/wiki/Paul_C%C3%A9zanne,23,from 24 to 23
39,Eugene Delacroix,1798 ?�????? 1863,1798,1863,Romanticism,French,"Ferdinand Victor Eug??ne Delacroix (26 April 1798 ?�? 13 August 1863) was a French Romantic artist regarded from the outset of his career as the leader of the French Romantic school. As a painter and muralist, Delacroix's use of expressive brushstrokes and his study of the optical effects of color profoundly shaped the work of the Impressionists, while his passion for the exotic inspired the artists of the Symbolist movement. A fine lithographer, Delacroix illustrated various works of William Shakespeare, the Scottish author Walter Scott and the German author Johann Wolfgang von Goethe.",https://en.wikipedia.org/wiki/Eug%C3%A8ne_Delacroix,16,
40,Henri Rousseau,1844 ?�????? 1910,1844,1910,Post-Impressionism,French,"Henri Julien F??lix Rousseau (21 May 1844 ?�? 2 September 1910) was a French post-impressionist painter in the Na??ve or Primitive manner. He was also known as Le Douanier (the customs officer), a humorous description of his occupation as a toll and tax collector. He started painting seriously in his early forties; by age 49, he retired from his job to work on his art full-time. Ridiculed during his lifetime by critics, he came to be recognized as a self-taught genius whose works are of high artistic quality. Rousseau's work exerted an extensive influence on several generations of avant-garde artists.",https://en.wikipedia.org/wiki/Henri_Rousseau,35,
41,Georges Seurat,1859 ?�????? 1891,1859,1891,"Post-Impressionism,Neo-impressionism",French,"Georges-Pierre Seurat (2 December 1859 ?�? 29 March 1891) was a French post-Impressionist artist. He is best known for devising the painting techniques known as chromoluminarism as well as pointillism. While less famous than his paintings, his cont?? crayon drawings have also garnered a great deal of critical appreciation. Seurat's artistic personality was compounded of qualities which are usually supposed to be opposed and incompatible: on the one hand, his extreme and delicate sensibility, on the other, a passion for logical abstraction and an almost mathematical precision of mind. ",https://en.wikipedia.org/wiki/Georges_Seurat,22,
42,Paul Klee,1879 ?�????? 1940,1879,1940,"Expressionism,Surrealism,Bauhaus",German,"Paul Klee (18 December 1879 ?�? 29 June 1940) was a Swiss-born artist. His highly individual style was influenced by movements in art that included Expressionism, Cubism, and Surrealism. Klee was a natural draftsman who experimented with and eventually deeply explored color theory, writing about it extensively; his lectures Writings on Form and Design Theory, published in English as the Paul Klee Notebooks, are held to be as important for modern art as Leonardo da Vinci's A Treatise on Painting for the Renaissance. His works reflect his dry humor and his sometimes childlike perspective, his personal moods and beliefs, and his musicality.",https://en.wikipedia.org/wiki/Paul_Klee,93,from 94 to 93
43,Piet Mondrian,1872 ?�????? 1944,1872,1944,Neoplasticism,Dutch,"Pieter Cornelis Mondriaan, after 1906 Piet Mondrian, was a Dutch painter and theoretician who is regarded as one of the greatest artists of the 20th century. He is known for being one of the pioneers of 20th century abstract art, as he changed his artistic direction from figurative painting to an increasingly abstract style, until he reached a point where his artistic vocabulary was reduced to simple geometric elements.",https://en.wikipedia.org/wiki/Piet_Mondrian,41,from 42 to 41
44,Joan Miro,1893 ?�????? 1983,1893,1983,Surrealism,Spanish,"Joan Mir?? i Ferr?? (20 April 1893 ?�? 25 December 1983) was a Spanish painter, sculptor, and ceramicist born in Barcelona. Earning international acclaim, his work has been interpreted as Surrealism, a sandbox for the subconscious mind, a re-creation of the childlike, and a manifestation of Catalan pride. In numerous interviews dating from the 1930s onwards, Mir?? expressed contempt for conventional painting methods as a way of supporting bourgeois society, and declared an ""assassination of painting"" in favor of upsetting the visual elements of established painting.",https://en.wikipedia.org/wiki/Joan_Mir%C3%B3,50,from 51 to 50
45,Andy Warhol,1928 ?�????? 1987,1928,1987,Pop Art,American,"Andy Warhol (August 6, 1928 ?�? February 22, 1987) was an American artist, director, and producer who was a leading figure in the visual art movement known as pop art. His works explore the relationship between artistic expression, advertising, and celebrity culture that flourished by the 1960s, and span a variety of media, including painting, silkscreening, photography, film, and sculpture. ",https://en.wikipedia.org/wiki/Andy_Warhol,80,
46,Paul Gauguin,1848 ?�????? 1903,1848,1903,"Symbolism,Post-Impressionism",French,"Eug??ne Henri Paul Gauguin (7 June 1848 ?�? 8 May 1903) was a French post-Impressionist artist. Unappreciated until after his death, Gauguin is now recognized for his experimental use of color and Synthetist style that were distinct from Impressionism. Toward the end of his life, he spent ten years in French Polynesia, and most of his paintings from this time depict people or landscapes from that region.",http://en.wikipedia.org/wiki/Paul_Gauguin,155,from 156 to 155
47,Raphael,1483 ?�????? 1520,1483,1520,High Renaissance,Italian,"Raphael was an Italian painter and architect of the High Renaissance. His work is admired for its clarity of form, ease of composition, and visual achievement of the Neoplatonic ideal of human grandeur. Together with Michelangelo and Leonardo da Vinci, he forms the traditional trinity of great masters of that period.",https://en.wikipedia.org/wiki/Raphael,54,from 55 to 54
48,Michelangelo,1475 ?�????? 1564,1475,1564,High Renaissance,Italian,"Michelangelo di Lodovico Buonarroti Simoni (6 March 1475 ?�? 18 February 1564), known best as simply Michelangelo, was an Italian sculptor, painter, architect and poet of the High Renaissance born in the Republic of Florence, who exerted an unparalleled influence on the development of Western art. Considered by many the greatest artist of his lifetime, and by some the greatest artist of all time, his artistic versatility was of such a high order that he is often considered a contender for the title of the archetypal Renaissance man, along with his rival, the fellow Florentine and client of the Medici, Leonardo da Vinci.",https://en.wikipedia.org/wiki/Michelangelo,25,
49,Jackson Pollock,1912 ?�????? 1956,1912,1956,Abstract Expressionism,American,"Paul Jackson Pollock (January 28, 1912 ?�? August 11, 1956) was an American painter and a major figure in the abstract expressionist movement. He was widely noticed for his technique of pouring or splashing liquid household paint onto a horizontal surface (?�?drip technique?�?), enabling him to view and paint his canvases from all angles. It was also called ?�?action painting?�?, since he used the force of his whole body to paint, often in a frenetic dancing style. This extreme form of abstraction divided the critics: some praised the immediacy and fluency of the creation, while others derided the random effects.",http://en.wikipedia.org/wiki/Jackson_Pollock,12,
